topic,question,optionA,optionB,optionC,optionD,correctIndex,explanation,difficulty
Algebra - Exponent Rules,Which of the following correctly represents the rule a^(b+c)?,a^b + a^c,a^b × a^c,(a^b)^c,a^(b×c),1,"By definition of exponentiation, a^(b+c) means concatenating the multiplication strings, which equals a^b × a^c. For example: 3^(4+2) = 3^6 = (3×3×3×3)×(3×3) = 3^4 × 3^2",easy
Algebra - Exponent Rules,What is (ab)^c equal to?,a^c + b^c,a^c × b^c,a^(bc),(a+b)^c,1,(ab)^c = a^c × b^c. Example: (2×3)^4 = (2×3)×(2×3)×(2×3)×(2×3) = (2×2×2×2)×(3×3×3×3) = 2^4 × 3^4,easy
Algebra - Exponent Rules,Is the statement a^b · b^c = (a^b)^c true in general?,"Yes, always true","No, it's false",Only true when a = b,Only true when c = 1,1,"This is false. Counterexample: Let a=2, b=3, c=4. Left side: 2^3 · 3^4 = 8 · 81 = 648. Right side: (2^3)^4 = 2^12 = 4096. Since 648 ≠ 4096, the statement is false.",medium
Algebra - Fractional Exponents,What does a^(-1/n) represent?,a^n,1/(n-th root of a),-a^(1/n),n/a,1,"a^(-1/n) = 1/a^(1/n) = 1/(n-th root of a). Negative exponent means reciprocal, and fractional exponent 1/n means n-th root.",medium
Algebra - Square Root,What is √(x²) equal to?,x,-x,|x| (absolute value of x),±x,2,"√(x²) = |x|. The radical symbol √ represents the principal (non-negative) square root. For example: √((-3)²) = √9 = 3 = |-3|, not -3.",medium
Algebra - Binomial Formula,What is (a+b)² equal to?,a² + b²,a² + 2ab + b²,a² - 2ab + b²,(a+b)(a-b),1,(a+b)² = a² + 2ab + b². This can be proven geometrically by dividing a square with side (a+b) into four regions: two squares (a² and b²) and two rectangles (each ab).,easy
Geometry - Pythagorean Theorem,"In a right triangle with legs a and b and hypotenuse c, what is the relationship?",a + b = c,a² + b² = c²,a² - b² = c²,a + b = c²,1,The Pythagorean Theorem states a² + b² = c². This can be proven by arranging four identical right triangles in two different ways within a square.,easy
Trigonometry - Unit Circle,"On the unit circle, what do the coordinates (cos θ, sin θ) represent?",The angle θ in degrees,The point on the circle at angle θ from the positive x-axis,The radius of the circle,The tangent of angle θ,1,"For any angle θ measured counterclockwise from the positive x-axis, the point on the unit circle has coordinates (cos θ, sin θ). This is the geometric definition of sine and cosine.",easy
Trigonometry - Radians,How many radians are in a full circle?,π,2π,π/2,360,1,"A full circle is 2π radians (or 360°). In a unit circle, the radian measure equals the arc length, so circumference 2πr = 2π(1) = 2π radians.",easy
Trigonometry - Angles,"What is 3π/2 radians in degrees, and where is it on the unit circle?",90° on positive y-axis,180° on negative x-axis,270° on negative y-axis,360° on positive x-axis,2,"3π/2 = (3/2) × 180° = 270°. This is three-quarters of a full circle, located on the negative y-axis with coordinates (0, -1).",medium
